,cost,emission_reduction
0,27563600.0,4223.251039444195
1,28011100.0,1924335.8485384693
2,28458500.0,2964029.9952167915
3,28906000.0,3518023.632713591
4,29353400.0,3578543.9891882082
5,29800900.0,3607954.1839764663
6,30248300.0,3625295.143535201
7,30683400.0,3641774.639730577
8,31119300.0,3657514.2114103385
9,31581100.0,3672310.6811233317
10,32012900.0,3686272.794120055
11,32483400.0,3699312.2953146277
12,32922100.0,3711838.908653554
13,33380500.0,3723681.2891115346
14,33827700.0,3734809.0997241167
15,34274200.0,3740965.01256498
16,34722900.0,3744898.0928817554
17,35166000.0,3747964.294297312
18,35617800.0,3750833.7601164007
19,36065200.0,3753660.3637912283
20,36510900.0,3756402.91696137
21,36960200.0,3759108.6928878757
22,37407600.0,3761835.993538138
23,37855100.0,3764505.9515211745
24,38302500.0,3767123.3827859117
25,38748200.0,3769702.1815899545
26,39192600.0,3772228.6379295886
27,39637300.0,3774709.0826975396
28,40082800.0,3777155.929582809
29,40539800.0,3779567.655740015
30,40987200.0,3781958.337873923
31,41434700.0,3784311.574198152
32,41882100.0,3786637.592433134
33,42329600.0,3788927.855546953
34,42777100.0,3791193.118211811
35,43224500.0,3793428.5715518063
36,43672000.0,3795629.893648087
37,44119400.0,3797801.1766634183
38,44566900.0,3799931.612045048
39,45014300.0,3802018.302408896
40,45460400.0,3804077.531272655
41,45908200.0,3806083.715428469
42,46356600.0,3808043.6139966315
43,46803900.0,3809954.47873533
44,47250900.0,3811826.0895937807
45,47699000.0,3813647.2529402366
46,48146500.0,3815404.131850728
47,48594000.0,3817092.591168332
48,49041400.0,3818718.233909572
49,49488200.0,3820291.33518364
50,49936200.0,3821798.707951565
51,50383000.0,3823236.7247152827
52,50831000.0,3824653.891015379
53,51278600.0,3825986.4383065025
54,51726100.0,3827257.0272200336
55,52172500.0,3828106.037539903
56,52621000.0,3828766.084791177
57,53067700.0,3829373.8688027845
58,53514400.0,3829843.0776399383
59,53963300.0,3830224.182826845
60,54410300.0,3830550.62631865
61,54858300.0,3830837.874998606
62,55299900.0,3831104.708602824
63,55737200.0,3831347.897907307
64,56200600.0,3831585.8764477493
65,56638000.0,3831795.763151195
66,57094100.0,3832000.470483668
67,57536200.0,3832190.165500023
68,57990500.0,3832371.4020835776
69,58437300.0,3832550.009198052
70,58875400.0,3832716.2864714838
71,59332800.0,3832884.8558595474
72,59775900.0,3833046.013891053
73,60226900.0,3833202.930069371
74,60672800.0,3833358.6834486336
75,61122700.0,3833509.7309149983
76,61569900.0,3833659.055742413
77,62016700.0,3833803.888276694
78,62465000.0,3833947.654841696
79,62912500.0,3834089.475449927
80,63359900.0,3834229.687235541
81,63806700.0,3834367.3652161118
82,64253800.0,3834502.3353298306
83,64700400.0,3834634.3314197594
84,65149700.0,3834765.15692893
85,65597200.0,3834894.069975968
86,66044600.0,3835020.781901383
87,66491300.0,3835145.9761956055
88,66939100.0,3835269.778685595
89,67385900.0,3835392.2182306503
90,67833100.0,3835512.927272016
91,68281900.0,3835631.7928517666
92,68729400.0,3835749.850567312
93,69176800.0,3835865.7557711527
94,69624300.0,3835979.0291372794
95,70071200.0,3836089.1002600044
96,70512500.0,3836186.809111485
97,70954800.0,3836222.11309537
98,71414100.0,3836253.0175155955
99,71826400.0,3836274.454054636
